person_id,first_name,last_name,age,gender,income,education_level,employment_status,marital_status,housing_type,customer_id,credit_score,credit_limit,outstanding_debt,payment_history,loan_purpose,loan_amount,loan_term
31,Johna,Neillans,85,Female,Ruble,High School Diploma,Employed,Divorced,Rent,31,807,82946.89,43489.92,missed,medical expenses,87292.32,7
32,Myrvyn,Hixley,33,Male,Naira,Bachelor's Degree,Self-Employed,Single,Mortgage,32,663,31294.09,25726.0,late,home improvement,35240.88,11
33,Patrizius,Dri,76,Male,Rupiah,Master's Degree,Employed,Married,Rent,33,681,51436.86,33134.98,late,medical expenses,94150.49,7
34,Aviva,Troubridge,58,Female,Somoni,PhD,Employed,Single,Rent,34,842,77018.59,30855.93,missed,debt consolidation,58956.68,20
35,Marci,Parkman,23,Female,Peso,PhD,Employed,Married,Mortgage,35,409,24045.23,29423.65,on-time,home improvement,9317.27,23
36,Prince,Carde,59,Male,Dollar,Bachelor's Degree,Unemployed,Single,Mortgage,36,470,33520.88,39798.37,missed,medical expenses,61650.35,6
37,Bethena,Auston,53,Female,Krona,High School Diploma,Employed,Married,Rent,37,512,84193.99,24835.3,missed,medical expenses,42140.33,20
38,Terri-jo,Halley,47,Female,Zloty,High School Diploma,Self-Employed,Divorced,Rent,38,822,53886.31,46740.69,late,home improvement,74136.05,30
39,Stevana,Lindback,62,Female,Krone,Bachelor's Degree,Unemployed,Married,Mortgage,39,313,50206.07,8572.95,on-time,debt consolidation,49088.94,25
40,Richmond,Yakuntzov,84,Genderfluid,Baht,PhD,Self-Employed,Married,Own,40,831,55519.01,13353.49,missed,debt consolidation,97076.93,5
41,Holli,Brookesbie,28,Female,Franc,High School Diploma,Self-Employed,Married,Rent,41,501,54723.25,46740.37,late,medical expenses,31155.1,6
42,Laney,Nathon,68,Female,Dollar,Bachelor's Degree,Self-Employed,Single,Rent,42,818,23873.73,5318.72,late,medical expenses,53122.4,12
43,Menard,Oxteby,47,Male,Krona,High School Diploma,Unemployed,Married,Rent,43,450,88435.14,35422.9,missed,debt consolidation,95177.37,24
44,Kurtis,Betun,20,Bigender,Franc,Master's Degree,Self-Employed,Divorced,Rent,44,669,61174.9,18408.4,late,home improvement,29020.67,4
45,Peggie,Isaak,62,Female,Real,PhD,Self-Employed,Divorced,Rent,45,513,24227.5,17481.45,late,medical expenses,6414.36,1
46,Ernesta,Horsewood,62,Agender,Peso,PhD,Unemployed,Single,Mortgage,46,426,33364.2,27327.14,late,home improvement,18147.22,16
47,Noreen,Brozsset,38,Female,Ruble,Bachelor's Degree,Self-Employed,Single,Own,47,438,77847.21,33508.0,missed,medical expenses,29200.64,16
48,Merwyn,Larchiere,30,Male,Rupiah,Master's Degree,Self-Employed,Single,Own,48,613,21160.46,10975.27,on-time,debt consolidation,86623.11,16
49,Heidi,Bullman,36,Female,Sol,Master's Degree,Employed,Single,Own,49,355,42890.36,31178.66,missed,debt consolidation,43870.59,1
50,Tomkin,Gissop,49,Male,Euro,Master's Degree,Unemployed,Single,Mortgage,50,505,90075.91,13959.94,on-time,debt consolidation,52384.55,15
51,Sayres,Skeffington,26,Male,Rupiah,High School Diploma,Employed,Single,Own,51,316,8348.51,48813.9,missed,home improvement,45549.55,29
52,Cornelle,Veld,54,Female,Marka,Master's Degree,Self-Employed,Married,Rent,52,602,95176.88,49363.2,on-time,home improvement,38832.58,6
53,Mollie,Brewster,33,Female,Franc,PhD,Employed,Widowed,Mortgage,53,835,65849.31,26723.12,missed,debt consolidation,82469.64,1
54,Brandi,Hurn,26,Female,Yuan Renminbi,PhD,Self-Employed,Single,Rent,54,706,12079.67,49316.32,late,home improvement,78718.86,2
55,Garnette,Averay,83,Female,Yuan Renminbi,Master's Degree,Self-Employed,Divorced,Mortgage,55,567,88073.62,41137.91,on-time,debt consolidation,68031.94,8
56,Sonnie,Cluse,60,Male,Won,Bachelor's Degree,Unemployed,Single,Rent,56,351,90618.15,16734.38,missed,debt consolidation,64682.62,5
57,Corella,Rignoldes,64,Genderqueer,Euro,Master's Degree,Unemployed,Single,Rent,57,832,41525.42,26931.34,late,home improvement,22055.18,1
58,Juline,Poznanski,32,Female,Real,Bachelor's Degree,Unemployed,Widowed,Rent,58,598,11866.85,40615.69,missed,medical expenses,96544.01,15
59,Erie,Edwicker,23,Male,Dollar,PhD,Employed,Divorced,Rent,59,385,25282.94,35199.55,missed,home improvement,32449.77,16
60,Penn,Clemo,79,Male,Peso,Master's Degree,Self-Employed,Divorced,Own,60,379,24407.72,18896.12,missed,home improvement,26892.99,27
61,Jessie,Klejin,76,Male,Zloty,High School Diploma,Employed,Single,Rent,61,542,39301.09,36706.54,late,debt consolidation,18666.56,21
62,Aggy,Mozzi,57,Female,Dong,Master's Degree,Self-Employed,Married,Own,62,341,23388.84,8128.67,late,medical expenses,15107.8,14
63,Claudie,Elacoate,50,Genderqueer,Yuan Renminbi,PhD,Self-Employed,Single,Rent,63,806,24446.54,4757.0,late,medical expenses,37029.02,9
64,Lindsey,Conry,53,Male,Euro,PhD,Self-Employed,Widowed,Own,64,818,63724.15,40653.39,late,home improvement,93400.29,16
65,Emmeline,Gomar,57,Female,Somoni,PhD,Self-Employed,Divorced,Own,65,788,71428.41,22883.18,on-time,debt consolidation,38892.12,13
66,Kimble,Delgaty,67,Male,Yuan Renminbi,Bachelor's Degree,Employed,Widowed,Mortgage,66,570,18747.88,16255.88,missed,debt consolidation,29864.5,15
67,Jacynth,Cushelly,75,Female,Dinar,PhD,Self-Employed,Divorced,Rent,67,375,54786.47,40656.9,on-time,debt consolidation,82586.23,22
68,Beverly,Timberlake,84,Female,Rupiah,Master's Degree,Self-Employed,Widowed,Own,68,597,85288.43,4495.92,missed,home improvement,45846.52,13
69,Filia,Haken,34,Female,Ruble,Master's Degree,Employed,Divorced,Own,69,675,23668.89,12563.6,late,home improvement,30162.71,10
70,Quintana,Marty,53,Female,Peso,Master's Degree,Employed,Divorced,Mortgage,70,771,87695.54,43367.13,on-time,home improvement,32520.92,26
71,Simonne,Danilchev,78,Female,Dirham,High School Diploma,Unemployed,Widowed,Rent,71,541,67103.58,49608.07,missed,home improvement,39224.94,26
72,Damita,Bulfield,66,Female,Rupiah,Master's Degree,Employed,Widowed,Mortgage,72,348,54131.0,39367.41,late,home improvement,96544.26,10
73,Thomasa,Nevet,79,Female,Euro,High School Diploma,Self-Employed,Single,Own,73,785,74559.49,47562.18,on-time,debt consolidation,35128.59,10
74,Aldwin,McLugish,21,Male,Peso,Bachelor's Degree,Employed,Divorced,Mortgage,74,503,74792.62,49470.26,on-time,medical expenses,88830.54,10
75,Dolli,Carrington,25,Female,Krona,PhD,Employed,Divorced,Mortgage,75,361,67951.72,3096.11,on-time,medical expenses,97749.9,30
76,Morgana,Jayne,25,Female,Yuan Renminbi,Bachelor's Degree,Unemployed,Divorced,Own,76,413,78712.16,6523.35,missed,medical expenses,1308.42,2
77,Germayne,Honisch,65,Male,Riels,Bachelor's Degree,Self-Employed,Widowed,Rent,77,628,95755.68,33803.26,missed,medical expenses,74340.57,2
78,Eustace,Scartifield,41,Male,Tugrik,High School Diploma,Employed,Divorced,Mortgage,78,556,66938.57,25836.12,late,medical expenses,37275.12,22
79,Ana,Hasslocher,49,Female,Zloty,Bachelor's Degree,Self-Employed,Divorced,Mortgage,79,669,95814.88,41883.5,late,debt consolidation,8828.15,11
80,Chrysa,Draisey,44,Female,Zloty,Bachelor's Degree,Unemployed,Widowed,Mortgage,80,378,88470.15,48973.62,on-time,debt consolidation,68360.94,13
81,Carmelia,Deeth,36,Genderqueer,Peso,PhD,Self-Employed,Married,Own,81,563,38639.99,47819.54,missed,debt consolidation,44457.19,1
82,Prentiss,Gough,41,Non-binary,Ruble,Bachelor's Degree,Unemployed,Divorced,Rent,82,754,58938.51,20418.58,missed,home improvement,85586.44,27
83,Beilul,Colbertson,41,Female,Yuan Renminbi,Master's Degree,Employed,Widowed,Own,83,425,25543.61,4247.27,late,debt consolidation,19389.48,23
84,Dex,Fordy,66,Male,Peso,PhD,Self-Employed,Divorced,Rent,84,589,48227.14,7767.35,late,home improvement,24327.34,17
85,Sonny,Daffey,75,Agender,Shilling,Master's Degree,Self-Employed,Widowed,Mortgage,85,366,36072.54,48778.16,late,home improvement,16090.14,1
86,Munmro,Kubista,30,Male,Yuan Renminbi,PhD,Self-Employed,Married,Mortgage,86,731,98810.05,27479.55,missed,debt consolidation,26636.68,12
87,Inez,Daffern,77,Female,Rupiah,PhD,Employed,Widowed,Mortgage,87,847,42785.99,3064.73,late,medical expenses,78868.7,19
88,Joletta,Couzens,28,Female,Zloty,PhD,Employed,Widowed,Own,88,436,20728.7,49224.71,late,medical expenses,29275.45,12
89,Cam,Matteini,74,Female,Ruble,PhD,Unemployed,Divorced,Own,89,585,21881.7,15210.15,missed,home improvement,59555.25,2
90,Luke,Mc Caughen,81,Male,Lempira,PhD,Self-Employed,Divorced,Mortgage,90,803,26764.94,37848.34,on-time,medical expenses,10287.34,24
91,Blayne,Pinare,29,Male,Yuan Renminbi,High School Diploma,Self-Employed,Widowed,Mortgage,91,616,34345.99,44064.91,on-time,debt consolidation,68841.15,15
92,Gipsy,Skala,42,Female,Zloty,PhD,Self-Employed,Married,Mortgage,92,585,24235.71,20968.86,missed,debt consolidation,90352.95,29
93,Hank,Divis,65,Male,Peso,PhD,Unemployed,Single,Mortgage,93,608,90416.0,34971.46,on-time,debt consolidation,12296.63,24
94,Rebeca,Loudon,19,Female,Dinar,High School Diploma,Employed,Widowed,Own,94,351,79811.99,26094.64,late,home improvement,6693.92,19
95,Neysa,Scandrett,27,Female,Zloty,High School Diploma,Unemployed,Single,Own,95,626,50194.69,46123.93,late,debt consolidation,78771.01,17
96,Margarete,Beach,46,Genderqueer,Rupiah,Bachelor's Degree,Self-Employed,Single,Rent,96,624,48478.37,42586.16,late,home improvement,32785.55,4
97,Brena,Revel,60,Female,Rupiah,Master's Degree,Unemployed,Married,Mortgage,97,546,54188.45,12325.02,on-time,home improvement,69890.96,3
98,Joline,Tradewell,59,Female,Peso,High School Diploma,Employed,Married,Rent,98,813,88131.6,33768.8,on-time,home improvement,69376.82,1
99,Shanan,Kornousek,75,Non-binary,Ruble,PhD,Employed,Married,Own,99,579,24426.09,30814.71,missed,home improvement,65805.47,15
100,Lacie,Kevern,51,Non-binary,Real,Master's Degree,Unemployed,Single,Rent,100,746,57363.32,21227.27,missed,home improvement,22923.53,8
101,Wang,Truscott,37,Male,Rupee,PhD,Employed,Single,Mortgage,101,799,57943.79,44551.9,missed,home improvement,71681.68,7
102,Pren,Walewicz,67,Male,Naira,Master's Degree,Self-Employed,Married,Mortgage,102,559,29665.82,32307.72,missed,home improvement,7909.32,24
103,Nickola,Arden,32,Male,Yuan Renminbi,High School Diploma,Employed,Married,Mortgage,103,557,94166.49,8535.11,on-time,home improvement,42928.31,26
104,Flss,Luxon,65,Bigender,Yuan Renminbi,High School Diploma,Employed,Single,Rent,104,710,66616.64,40358.83,on-time,home improvement,91751.93,26
105,Stan,Welds,84,Male,Euro,High School Diploma,Employed,Married,Own,105,302,47460.51,4827.75,late,home improvement,4576.21,17
106,Beatrix,Shatford,33,Female,Ruble,Master's Degree,Unemployed,Single,Rent,106,420,31310.79,24407.94,late,home improvement,34703.99,9
107,Adoree,Humberstone,46,Female,Rupiah,Bachelor's Degree,Employed,Widowed,Own,107,771,51782.5,8973.52,missed,medical expenses,67943.56,20
108,Milo,aManger,40,Male,Yuan Renminbi,Master's Degree,Unemployed,Widowed,Own,108,757,35685.88,32130.55,late,debt consolidation,84291.27,3
109,Herve,Glaves,73,Male,Dollar,PhD,Self-Employed,Widowed,Mortgage,109,388,14118.05,42996.82,late,debt consolidation,60815.88,14
110,Dannel,Eagger,36,Male,Dollar,High School Diploma,Unemployed,Single,Rent,110,391,59650.97,14998.0,late,debt consolidation,48438.77,2
111,Ferrel,Fehners,71,Male,Bolivar,PhD,Employed,Single,Rent,111,410,61043.11,38202.14,missed,home improvement,35037.86,19
112,Armstrong,Wandrach,51,Bigender,Yuan Renminbi,Bachelor's Degree,Self-Employed,Single,Rent,112,345,67346.92,22797.05,on-time,medical expenses,74548.85,25
113,Jacinda,Figgins,77,Female,Euro,Master's Degree,Unemployed,Widowed,Mortgage,113,831,72009.89,49398.99,late,debt consolidation,5184.31,2
114,Bibbie,Tappington,55,Female,Yuan Renminbi,Bachelor's Degree,Self-Employed,Widowed,Rent,114,439,22062.0,47421.28,missed,home improvement,12887.41,19
115,Phineas,Stranio,59,Male,Franc,Bachelor's Degree,Unemployed,Single,Mortgage,115,757,28971.38,4170.55,late,debt consolidation,3528.2,6
116,Lucky,Leftwich,70,Female,Rupiah,High School Diploma,Self-Employed,Divorced,Rent,116,767,52388.24,2567.33,missed,medical expenses,99966.21,28
117,Meggy,Morby,20,Female,Yuan Renminbi,PhD,Unemployed,Widowed,Own,117,373,92979.84,25185.86,late,debt consolidation,43339.95,10
118,Jase,Tuttle,72,Male,Dollar,Bachelor's Degree,Self-Employed,Married,Rent,118,715,60277.81,45960.8,missed,debt consolidation,51511.78,27
119,Carroll,Dudderidge,66,Female,Ruble,PhD,Self-Employed,Widowed,Mortgage,119,826,57652.85,17947.98,late,medical expenses,24602.3,27
120,Lindy,Feldbaum,60,Male,Hryvnia,High School Diploma,Unemployed,Single,Rent,120,683,94406.89,26349.27,on-time,debt consolidation,10310.57,30
121,Delaney,Dunstan,28,Male,Baht,Bachelor's Degree,Employed,Widowed,Rent,121,556,36468.24,32266.81,late,debt consolidation,13399.73,6
122,Moselle,Milberry,45,Female,Zloty,High School Diploma,Unemployed,Widowed,Mortgage,122,444,15922.03,23198.47,missed,home improvement,29514.01,26
123,Rutger,Burndred,84,Male,Baht,Master's Degree,Unemployed,Divorced,Own,123,571,74992.4,11300.59,on-time,debt consolidation,31830.52,18
124,Stanford,Di Antonio,28,Male,Euro,High School Diploma,Unemployed,Married,Mortgage,124,471,89617.1,48656.44,on-time,medical expenses,10320.36,20
125,Norah,Chstney,71,Female,Euro,Bachelor's Degree,Self-Employed,Single,Mortgage,125,371,19231.2,47114.06,on-time,debt consolidation,80940.28,23
126,Wilfrid,Peres,77,Male,Sol,PhD,Self-Employed,Divorced,Own,126,313,23110.64,32410.76,missed,debt consolidation,61609.58,12
127,Euphemia,Crum,56,Bigender,Lempira,Master's Degree,Self-Employed,Widowed,Mortgage,127,699,60309.42,17459.15,on-time,debt consolidation,47214.41,29
128,Anders,Wordsworth,37,Male,Krona,High School Diploma,Employed,Widowed,Rent,128,537,8265.28,34225.8,missed,debt consolidation,48048.39,27
129,Johanna,Jerrems,32,Non-binary,Yuan Renminbi,Master's Degree,Self-Employed,Single,Own,129,670,83118.5,30444.19,late,debt consolidation,13528.36,18
130,Raddie,Wyldish,69,Male,Koruna,Master's Degree,Employed,Single,Rent,130,366,19844.48,8919.05,missed,debt consolidation,23798.23,10
131,Gayler,Zanolli,59,Male,Dollar,Master's Degree,Self-Employed,Divorced,Rent,131,613,10907.41,18666.89,on-time,medical expenses,3554.8,29
132,Blanche,Fortoun,37,Female,Peso,Bachelor's Degree,Employed,Married,Rent,132,669,1587.64,38553.39,late,home improvement,65246.91,21
133,Leora,Olford,26,Female,Euro,PhD,Self-Employed,Single,Mortgage,133,304,70482.52,20238.12,missed,home improvement,3729.88,6
134,Raynor,Applewhite,28,Male,Rupiah,Bachelor's Degree,Unemployed,Widowed,Mortgage,134,800,87696.51,28892.71,missed,home improvement,89808.98,1
135,Fremont,Tynewell,82,Male,Krona,Master's Degree,Unemployed,Married,Own,135,466,21725.59,27668.34,late,home improvement,79611.63,6
136,Carson,Britee,45,Male,Baht,High School Diploma,Employed,Single,Rent,136,518,72287.1,7946.12,late,home improvement,91208.23,2
137,Tiler,McNickle,39,Male,Rupiah,Bachelor's Degree,Self-Employed,Divorced,Own,137,538,51101.6,35581.08,late,medical expenses,90714.4,25
138,Cherye,Curnock,48,Female,Forint,Bachelor's Degree,Employed,Widowed,Rent,138,530,21489.23,27327.12,late,home improvement,60036.43,27
139,Dania,Macias,84,Female,Peso,Master's Degree,Employed,Single,Rent,139,634,92718.07,29461.75,on-time,debt consolidation,90679.25,15
140,Benjy,Rising,77,Male,Lek,Master's Degree,Employed,Single,Mortgage,140,649,93780.9,31432.78,missed,home improvement,40600.97,12
141,Paolo,Render,26,Male,Rand,Bachelor's Degree,Employed,Single,Own,141,760,36578.27,16757.45,missed,debt consolidation,15193.78,17
142,Coletta,Antoniottii,42,Female,Euro,Master's Degree,Self-Employed,Widowed,Own,142,681,96948.32,29309.23,missed,home improvement,95281.19,30
143,Tedra,Guyonnet,50,Female,Peso,Master's Degree,Self-Employed,Single,Rent,143,721,85240.88,48746.44,missed,home improvement,54120.37,8
144,Diarmid,Cullrford,40,Male,Rupiah,High School Diploma,Unemployed,Divorced,Mortgage,144,330,48508.39,32863.31,missed,home improvement,31918.42,11
145,Nance,Kinnock,61,Female,Yuan Renminbi,PhD,Employed,Divorced,Own,145,695,29012.24,13277.05,missed,medical expenses,82713.03,3
146,Dallas,Petteford,24,Male,Franc,Bachelor's Degree,Employed,Divorced,Own,146,495,55333.92,43188.26,missed,debt consolidation,1441.94,8
147,Alden,Pontefract,49,Male,Yen,Bachelor's Degree,Self-Employed,Married,Own,147,548,20439.42,23525.76,late,home improvement,8628.41,27
148,Paquito,Theis,44,Male,Yuan Renminbi,Bachelor's Degree,Self-Employed,Widowed,Own,148,547,46748.88,38738.61,late,home improvement,44428.57,2
149,Felipa,O'Luby,76,Female,Rupiah,PhD,Employed,Widowed,Mortgage,149,624,4994.17,12443.01,missed,debt consolidation,62094.75,1
150,Rafaelita,Costello,38,Female,Real,Bachelor's Degree,Unemployed,Married,Rent,150,391,10993.59,38648.84,late,debt consolidation,60219.71,28
151,Donal,Beazer,39,Male,Koruna,PhD,Employed,Single,Rent,151,470,58697.12,11732.45,missed,home improvement,57644.5,16
152,Tally,Dilke,68,Male,Euro,PhD,Unemployed,Single,Mortgage,152,490,7008.22,15852.4,late,home improvement,71784.05,28
153,Karyn,Meeny,37,Female,Yen,PhD,Self-Employed,Divorced,Own,153,796,6950.56,14004.89,missed,home improvement,50169.67,7
154,Elfrida,MacLaverty,27,Female,Forint,PhD,Employed,Married,Rent,154,701,44463.12,5004.45,missed,home improvement,93053.82,19
155,Hasheem,Boog,58,Male,Sol,Bachelor's Degree,Self-Employed,Married,Mortgage,155,334,10686.48,27533.6,missed,medical expenses,49273.55,2
156,Mandie,Liebrecht,56,Female,Franc,High School Diploma,Self-Employed,Divorced,Mortgage,156,738,56026.43,9108.22,missed,medical expenses,29314.53,25
157,Alberto,Course,22,Male,Dollar,Bachelor's Degree,Unemployed,Married,Rent,157,625,49538.59,7688.24,late,home improvement,49695.23,24
158,Tally,Parrett,66,Female,Yuan Renminbi,Master's Degree,Unemployed,Married,Rent,158,720,3974.36,27645.26,late,medical expenses,46403.49,3
159,Maurise,Dykes,70,Male,Dollar,High School Diploma,Self-Employed,Widowed,Mortgage,159,605,53594.72,40317.2,on-time,home improvement,24551.94,4
160,Renee,Hendrickson,35,Genderqueer,Yuan Renminbi,Bachelor's Degree,Unemployed,Widowed,Own,160,681,43285.85,11552.39,on-time,debt consolidation,20213.16,27
161,Ari,Trebilcock,24,Male,Euro,PhD,Unemployed,Divorced,Mortgage,161,477,83740.74,15781.8,missed,debt consolidation,16651.34,29
162,Hildagard,Friberg,59,Female,Rupee,PhD,Employed,Married,Own,162,586,28193.81,39070.27,missed,medical expenses,27294.12,26
163,Fawnia,Mutter,58,Genderfluid,Ruble,PhD,Employed,Married,Own,163,830,95730.51,11255.16,missed,home improvement,77512.45,3
164,Kiersten,Rossey,32,Female,Peso,Bachelor's Degree,Employed,Divorced,Mortgage,164,383,48856.18,10004.03,on-time,debt consolidation,33444.09,27
165,Moselle,Hotton,25,Polygender,Yuan Renminbi,PhD,Unemployed,Divorced,Mortgage,165,771,19311.46,3973.05,missed,medical expenses,33334.25,7
166,Dorree,Ormshaw,30,Female,Lev,High School Diploma,Employed,Widowed,Own,166,675,63343.49,31660.89,on-time,medical expenses,41043.84,29
167,Kippie,Fochs,57,Male,Dollar,Master's Degree,Self-Employed,Single,Rent,167,565,79991.1,7357.13,missed,home improvement,4612.99,24
168,Heinrick,Stoneley,39,Male,Shilling,PhD,Employed,Married,Own,168,634,23868.45,34716.41,on-time,home improvement,50024.88,16
169,Wandie,Jonczyk,23,Female,Real,Bachelor's Degree,Self-Employed,Widowed,Own,169,308,52339.63,22468.52,late,home improvement,83132.49,3
170,Judie,Crowter,78,Female,Dong,High School Diploma,Self-Employed,Widowed,Rent,170,839,40227.18,3405.46,late,debt consolidation,2519.02,20
171,Frederick,Lamzed,78,Male,Peso,Bachelor's Degree,Self-Employed,Divorced,Mortgage,171,619,35215.61,1775.9,on-time,debt consolidation,94240.26,27
172,Corly,Turpin,72,Female,Peso,PhD,Self-Employed,Married,Mortgage,172,330,26951.17,9339.0,missed,debt consolidation,55888.48,5
173,Lion,Eixenberger,41,Male,Dollar,Master's Degree,Employed,Married,Own,173,687,56238.82,21084.87,missed,debt consolidation,94806.17,10
174,Bary,Bolland,74,Male,Yen,Bachelor's Degree,Employed,Divorced,Rent,174,331,47575.07,31675.25,on-time,debt consolidation,14900.54,10
175,Delmor,Ponten,52,Male,Yuan Renminbi,PhD,Employed,Widowed,Rent,175,841,78665.01,43791.93,late,debt consolidation,78938.77,27
176,Nichols,Boyles,74,Male,Euro,PhD,Self-Employed,Widowed,Own,176,494,23930.46,11303.42,on-time,debt consolidation,77078.67,4
177,Dickie,Rubenchik,42,Male,Real,Bachelor's Degree,Employed,Married,Mortgage,177,815,34219.15,24354.09,late,debt consolidation,19658.59,19
178,Camille,McDowall,34,Female,Yuan Renminbi,Bachelor's Degree,Self-Employed,Divorced,Own,178,710,70580.08,30698.79,on-time,home improvement,36659.2,24
179,Tyler,Leah,20,Male,Rupiah,Bachelor's Degree,Unemployed,Widowed,Mortgage,179,774,54739.31,3820.8,missed,debt consolidation,51122.24,16
180,Spencer,Mc Mechan,21,Male,Kuna,High School Diploma,Self-Employed,Divorced,Mortgage,180,644,14074.1,21243.24,late,debt consolidation,48748.53,25
181,Arielle,Kovalski,52,Bigender,Real,Master's Degree,Self-Employed,Divorced,Rent,181,762,65165.0,44947.59,missed,medical expenses,25876.25,5
182,Joanne,McTrustrie,21,Female,Lev,Master's Degree,Unemployed,Widowed,Own,182,525,29180.83,35553.19,on-time,debt consolidation,20649.01,14
183,Mariette,Riseam,21,Female,Cordoba,High School Diploma,Employed,Widowed,Mortgage,183,530,87721.54,21086.32,late,debt consolidation,42860.69,23
184,Reinaldos,Lundbech,38,Male,Yuan Renminbi,Master's Degree,Unemployed,Divorced,Rent,184,430,72952.31,6387.67,on-time,home improvement,5276.59,18
185,Arielle,Rooper,25,Female,Euro,Bachelor's Degree,Unemployed,Divorced,Mortgage,185,567,7394.74,17436.07,on-time,home improvement,52219.3,4
186,Jamill,Lawlie,53,Male,Euro,PhD,Employed,Married,Rent,186,733,40008.04,5476.15,missed,debt consolidation,52331.59,2
