property_id,transaction_date,property_type,sale_price,purchase_price,buyer_name,seller_name,agent_name,commission_rate,profit
30,12/8/2021,townhouse,365967.62,339751.79,Gerick Casarili,Cinda Broyd,Elana Scamerdine,0.05,26215.83
31,9/29/2020,house,815437.11,286607.06,Smith Checketts,Jehanna Blesli,Vikky Crich,0.09,528830.05
32,4/6/2020,house,977579.81,311251.84,Caron Harroway,Marjie Shewen,Carmon Ladd,0.09,666327.97
33,10/3/2021,apartment,300230.15,783989.88,Cayla Hamments,Nikos Vize,Leonardo Bedding,0.07,-483759.73
34,11/1/2021,apartment,664719.54,106674.41,Asher Gaveltone,Selena Streight,Dione Cranton,0.06,558045.13
35,1/30/2020,apartment,796893.49,294607.23,Terencio Farmloe,Carmel Ogle,Leonard Minocchi,0.09,502286.26
36,4/2/2021,townhouse,699257.09,844072.44,Edd Diggar,Desirae Luxen,Saxe MacNess,0.04,-144815.35
37,12/17/2021,condo,415889.21,467150.73,Jeannine Pawle,Moira Lynnett,Jonas Simkiss,0.02,-51261.52
38,8/10/2021,house,455398.43,492542.06,Bennie Aldin,Evangelina Carik,Stevy Rentcome,0.02,-37143.63
39,3/28/2020,condo,698883.2,738307.63,Bronnie Londesborough,Bary Comiskey,De witt Cullinan,0.07,-39424.43
40,1/23/2021,apartment,702180.87,554671.27,Thalia Renac,Ax Allicock,Bride Passingham,0.03,147509.6
41,10/14/2020,townhouse,905631.95,412047.07,Becky Devenport,Ashleigh Freckingham,Clio Aspinwall,0.02,493584.88
42,8/8/2020,townhouse,998596.1,751952.72,Murdoch Tipple,Lek Nolleth,Daron Tant,0.05,246643.38
43,3/12/2021,condo,735831.07,902283.22,Ania Town,Freda Tonry,Avigdor Rubinow,0.03,-166452.15
44,4/24/2020,apartment,469682.37,835375.52,Jayme Haggata,Burton Dot,Esther Dearell,0.02,-365693.15
45,10/15/2020,house,332320.23,634812.69,Teressa Simkins,Kristel Speer,Dieter Lawlan,0.03,-302492.46
46,6/23/2020,townhouse,722411.13,209934.71,Charin Sloper,Roger Cuttles,Brew Martignon,0.06,512476.42
47,1/22/2020,condo,642407.37,597676.62,Rustie Hallums,Garvey Clausewitz,Sauveur Jakubovski,0.08,44730.75
48,6/23/2020,condo,791791.81,910118.32,Anjanette Keijser,Sonnie Fairham,Dew Bracegirdle,0.05,-118326.51
49,8/12/2021,condo,407041.71,794901.1,Jone Dwyr,Bernardine Piotr,Kettie Mico,0.04,-387859.39
50,9/19/2020,townhouse,318678.49,680668.8,Noach Lowensohn,Rosetta Glacken,Frederique Vanyukov,0.01,-361990.31
51,10/14/2021,townhouse,634628.04,542974.77,Findlay Catchpole,Nerita Francombe,Annabell Sawforde,0.07,91653.27
52,12/10/2021,apartment,110970.73,204424.2,Teena Pattullo,Dee Gotch,Lindie Riddles,0.01,-93453.47
53,10/30/2021,townhouse,706783.3,769884.77,Murvyn Finding,Hanson Esparza,Dani Ayris,0.08,-63101.47
54,4/10/2020,apartment,974485.97,105788.47,Marrissa Stendell,Odetta Canceller,Chadd Levinge,0.02,868697.5
55,5/17/2021,condo,264057.64,123910.7,Lucille Piggen,Beverly Garrat,Janka Neads,0.02,140146.94
56,10/13/2020,condo,457363.58,813533.79,Sheelagh Binnie,Gabriella Emerton,Arielle Miere,0.05,-356170.21
57,10/16/2021,condo,255287.52,859355.56,Eugen Haycox,Harmon Thorington,Tamma Ketch,0.03,-604068.04
58,5/31/2020,condo,880609.62,325439.44,Cyndie Schimaschke,Delmor Vennings,Dedie Thebeaud,0.03,555170.18
59,4/9/2021,townhouse,449352.28,604943.46,Martie McWilliam,Berk Raye,Dionisio Tripney,0.07,-155591.18
60,3/28/2020,apartment,253781.8,702063.55,Rogerio Wonham,Annecorinne Tryhorn,Gavrielle Simonnin,0.08,-448281.75
61,11/14/2021,condo,567382.41,382631.61,Albert Gowans,Angus Bastiman,Susan Blaw,0.04,184750.8
62,1/28/2021,house,666290.5,433909.1,Shalom Duck,Pam Beaushaw,Jean Newlands,0.08,232381.4
63,3/21/2020,townhouse,307815.73,336264.36,Leese Renard,Ettie Pancast,Lena Housaman,0.06,-28448.63
64,5/27/2020,condo,682440.3,561733.51,Cletis Giabucci,Heidi Watchorn,Stavro Gooddie,0.07,120706.79
65,5/10/2020,house,852312.31,604819.77,Gilemette Flode,Taite Guyan,Laney Messier,0.09,247492.54
66,5/9/2021,townhouse,971344.55,566514.42,Margery Ping,Magdalen Bow,Isabel Birden,0.04,404830.13
67,12/2/2021,apartment,941888.69,109270.88,Bettye Branford,Christoforo Caunter,Genvieve Dale,0.06,832617.81
68,1/16/2021,apartment,287914.9,976165.52,Mace Dagnan,Vincents Shirlaw,Verene Wride,0.05,-688250.62
69,3/8/2020,house,322077.86,607518.89,Abel Speight,Jo Petrashkov,Isidro Burrel,0.06,-285441.03
70,7/16/2020,townhouse,775612.17,841541.3,Colman Feronet,Christophorus Hulk,Kamillah Paris,0.02,-65929.13
71,10/1/2021,apartment,835872.62,710656.31,Jon Kinglake,Cassey Knagges,Saidee Rourke,0.07,125216.31
72,10/18/2021,house,884828.39,807066.63,Kirstyn Richards,Wilow Dumsday,Roanna Porrett,0.04,77761.76
73,2/3/2020,apartment,879081.11,688026.86,Niles Reignould,Shandra Cuttings,Lisetta Elsmore,0.1,191054.25
74,6/13/2020,condo,982997.1,624954.93,Jordon Camier,Ennis Easdon,Carolynn McLucky,0.01,358042.17
75,6/30/2021,house,375303.33,58517.11,Loren Dowears,Gaby Yesinin,Feliks Kidgell,0.07,316786.22
76,8/28/2021,apartment,74618.83,334127.72,Kristel Kibbee,Sam Wonham,Anabella Rogliero,0.07,-259508.89
77,12/26/2021,apartment,678184.82,933657.72,Doralynne Thackeray,Jody Mankor,Row How,0.03,-255472.9
78,4/28/2021,townhouse,237080.72,541262.96,Odelia Greasty,Bailey Alfonsetti,Madelin Haydn,0.09,-304182.24
79,7/11/2021,condo,376740.47,461680.87,Darleen Toothill,Abbie Giacobelli,Cazzie Lindemann,0.09,-84940.4
80,9/2/2021,condo,982819.0,938311.15,Bancroft Nightingale,Audrey Feldberger,Carita Langridge,0.08,44507.85
81,2/24/2020,house,779485.06,375504.36,Herb Gabits,Ethel Scougall,Quillan Archdeacon,0.09,403980.7
82,4/26/2021,townhouse,169174.04,466106.23,Micky Vose,Benedicto Benardet,Mellicent Lampen,0.03,-296932.19
83,5/23/2020,apartment,219302.87,54524.72,Taddeo Widd,Georges Bergstram,Denice Meenan,0.04,164778.15
84,10/28/2021,apartment,295262.44,992618.5,Ed Cregeen,Honoria Lanney,Truman Tiltman,0.08,-697356.06
85,5/15/2020,condo,380041.21,51704.27,Jill Syrad,Cookie Fantone,Kathrine Ellard,0.1,328336.94
86,12/1/2021,condo,439205.53,341819.35,Robby Ragborne,Rowland Parks,Danya Pharrow,0.01,97386.18
87,10/11/2021,condo,876329.7,939260.05,Husain Peerman,Arnaldo de la Valette Parisot,Juliane Kelston,0.02,-62930.35
88,11/7/2020,condo,402746.78,242549.71,Abel Buterton,Ardine Simonnet,Kimbra Headland,0.02,160197.07
89,10/4/2020,house,732497.53,937402.38,Tremaine Stothard,Lila Jikovsky,Vale Girkin,0.1,-204904.85
90,6/8/2021,apartment,112671.9,769471.12,Ahmad Perch,Ted Cawcutt,Jandy Streetley,0.08,-656799.22
91,12/13/2020,townhouse,240762.61,218835.03,Shelby Woolager,Kristine Riddiford,Latisha McErlaine,0.09,21927.58
92,12/27/2020,condo,584388.69,127986.62,Corie Roundtree,Budd Allsup,Maddalena Thackeray,0.02,456402.07
93,8/11/2020,townhouse,528286.28,909570.83,Wilt Pietersma,Leonore Welsh,Budd McCleary,0.09,-381284.55
94,2/15/2021,house,818699.96,328776.91,Langston Giannassi,Beitris Larvent,Freemon Forbes,0.02,489923.05
95,8/26/2020,condo,305137.04,155394.85,Stacey Lared,Andrey Krysztofiak,Bibbie Blewmen,0.08,149742.19
96,3/23/2021,house,969644.88,141771.64,Ernesto Phelipeaux,Rivkah Gutcher,Kirsten Budleigh,0.1,827873.24
97,1/25/2021,house,211901.41,95815.12,Lizabeth Hinstridge,Cynthea Bende,Ralph Schwander,0.06,116086.29
98,4/29/2020,apartment,189884.67,832938.99,Lilian Raisbeck,Melisandra Estcot,Abner Glasard,0.1,-643054.32
99,7/25/2020,apartment,252174.79,955915.53,Byrann Scoggins,Archaimbaud Bordiss,Kin Harrismith,0.01,-703740.74
100,1/24/2020,house,194313.65,408448.95,Taddeusz Bickley,Dorey Jardein,Giorgi Pellew,0.03,-214135.3
101,7/30/2020,house,928989.47,964723.43,Ramonda Baptist,Shaine Arnaudi,Ree Peiser,0.06,-35733.96
102,8/29/2021,townhouse,526194.91,385759.55,Benita Baldelli,Barbette Bartkiewicz,Doralyn Baillie,0.03,140435.36
103,8/7/2020,condo,932351.04,721123.94,Derk McKeever,Gabie Mungan,Mort Veel,0.02,211227.1
104,7/15/2021,townhouse,729977.97,137485.39,Cosetta Flemmich,Bathsheba Kynson,Lianne Lowen,0.07,592492.58
105,8/8/2021,house,131190.76,488735.93,Marius Baudichon,Brynna Charpin,Guillemette Gaylor,0.07,-357545.17
106,6/3/2021,house,269044.81,544580.33,Alair Cavanaugh,Stephenie Shurey,Meir Lapere,0.03,-275535.52
107,9/18/2020,house,834515.25,883883.97,Doralynn Loude,Barnie Bowsher,Lezley Shoreman,0.03,-49368.72
108,6/18/2021,townhouse,98535.63,909747.65,Gayle Calverd,Yetta McGavigan,Nolan Proske,0.06,-811212.02
109,12/3/2020,house,167524.26,207762.27,Puff Raiker,Shara Dilliston,Toby Raison,0.08,-40238.01
110,2/21/2021,apartment,493087.25,632967.2,Tandi Pyott,Rhys Trim,Taddeo Mac Geaney,0.07,-139879.95
111,9/18/2020,house,873734.02,290651.87,Callie Long,Orbadiah Heeran,Octavius Harcarse,0.06,583082.15
112,9/13/2020,condo,189322.74,365092.03,Gunther Ecob,Drusie Dallinder,Bekki Roelofsen,0.04,-175769.29
113,7/30/2020,townhouse,356158.93,323576.31,Prentice Gisborne,Nady Briscoe,Abra De Bernardis,0.07,32582.62
114,4/10/2020,townhouse,84703.9,140413.85,Alverta McAuslene,Denis Wiggam,Abagail Willwood,0.01,-55709.95
115,7/25/2021,apartment,200475.29,654925.55,Carlye McNay,Brooks Romi,Dyana Hubbis,0.01,-454450.26
116,9/3/2021,townhouse,689917.71,595478.64,Tiebold Sillars,Darnell Beckitt,Cordi Sidworth,0.1,94439.07
117,11/25/2021,condo,163325.48,213812.64,Pincas Mayers,Hallie Lombardo,Alejandra Vardey,0.01,-50487.16
118,6/14/2021,apartment,703660.35,349660.42,Twila Maile,Yetta Dugmore,Jillayne Korlat,0.03,353999.93
119,12/9/2020,townhouse,283310.53,924589.44,Zilvia Hatton,Thorpe Brokenshaw,Jo-anne Loyndon,0.09,-641278.91
120,3/30/2021,townhouse,498968.74,379254.57,Curtice Giraudo,Carroll Baroche,Glenn Perrygo,0.06,119714.17
121,3/7/2021,condo,396613.1,753443.15,Cammi Bleibaum,Genvieve Usmar,Robbi Wyper,0.03,-356830.05
122,5/21/2021,apartment,146182.0,902911.17,Cathrin Sellek,Shawn Grugerr,Jennie Tutton,0.04,-756729.17
123,3/26/2020,condo,167336.86,364823.74,Lenci MacConchie,Blondy Drackford,Dawna Hundey,0.1,-197486.88
124,9/29/2021,condo,172899.13,122616.65,Biddy Fransewich,Aliza O'Hagan,Annmarie MacAiline,0.08,50282.48
125,2/28/2021,townhouse,759257.85,129464.94,Felice Stuchbury,Price McNirlan,Mavis Demaine,0.08,629792.91
126,3/13/2021,house,142821.24,212705.2,Titos Iacofo,Gladi Novichenko,Batholomew Froggatt,0.1,-69883.96
127,8/7/2020,apartment,368749.12,891471.79,Fredelia MacTrustey,Paten Glawsop,Micheline Cussons,0.07,-522722.67
128,12/12/2021,townhouse,834316.96,614996.17,Giffard Taphouse,Sanson Mishaw,Ernestus Gerriets,0.03,219320.79
129,10/20/2020,apartment,89787.01,257363.71,Rani Hanstock,Cozmo Worssam,Portia McGreil,0.09,-167576.7
130,5/27/2021,condo,754809.64,930967.91,Evin Pobjay,Anastasia Giovanni,Carleton Pratley,0.06,-176158.27
131,8/29/2020,apartment,990723.82,720330.79,Alanah Mirfield,Saleem Petrussi,Toddy Eveleigh,0.09,270393.03
132,1/1/2020,townhouse,717115.33,930431.23,Shelba Scrafton,Jephthah Pittam,Cody Ferrie,0.07,-213315.9
133,2/11/2021,apartment,996500.97,626312.6,Charmaine Rudge,Guilbert Currier,Sharity Rattenbury,0.03,370188.37
134,4/16/2021,house,86675.99,971059.35,Venita Tanby,Dorita Manzell,Anjanette Ivanishev,0.09,-884383.36
135,1/21/2020,condo,742128.75,376244.21,Gavrielle Brangan,Terese Mennear,Whittaker Daventry,0.1,365884.54
136,7/11/2020,apartment,59438.03,747314.57,Mariele Attrie,Bonni Lavington,Rivi Stivers,0.07,-687876.54
137,2/11/2020,condo,155246.85,409476.8,Raquela Lorant,Natal Yewdall,Phaedra Goodchild,0.05,-254229.95
138,3/29/2020,house,740618.63,581634.7,Saudra Hurrion,Edmund Guilliland,Corbin Tuerena,0.02,158983.93
139,7/6/2021,condo,377604.45,606470.47,Elijah Bingle,Brockie Seagar,Giorgi Bligh,0.05,-228866.02
140,4/29/2021,apartment,772810.08,867340.07,Gweneth Olivie,Camey Dellenty,Bowie Crosson,0.06,-94529.99
141,8/28/2021,house,410638.4,994121.76,Luther Maxfield,Elga Fick,Morrie Cello,0.05,-583483.36
142,1/12/2020,condo,267855.86,186160.94,Veronike Janusik,Rollins Crosseland,Solly Hayesman,0.02,81694.92
143,5/10/2020,condo,442462.47,528419.45,Wye Hehir,Slade Haffenden,Carmel Odda,0.05,-85956.98
144,8/14/2021,condo,202562.0,298072.19,Verney Clement,Conroy Iffland,Lila McAlinden,0.03,-95510.19
145,6/20/2020,apartment,925158.7,756743.62,Dianna Waldie,Merrill Lukianovich,Malena Sutherley,0.04,168415.08
146,12/16/2021,condo,734620.26,866497.12,Harmonie MacKessock,Clerc Brumby,Brit Lancetter,0.01,-131876.86
147,1/29/2020,apartment,671016.52,979597.95,Edouard Fragino,Caitrin Kerley,Monah Udall,0.1,-308581.43
148,10/30/2021,house,515180.77,527459.39,Moss Tayt,Bryce Wickey,Karee Peirson,0.06,-12278.62
149,4/19/2020,house,765550.31,72716.64,Ethelred Buzzing,Irving Poller,Darell Linneman,0.09,692833.67
150,12/14/2021,apartment,231848.32,202643.94,Ephraim Pinchen,Dino Legge,Odie Rogeron,0.07,29204.38
151,10/30/2021,house,78278.61,144505.21,Jerry Whitefoot,Ingmar Bus,Kai Newns,0.07,-66226.6
152,2/13/2021,condo,219468.89,960345.53,Vidovik Suddards,Ailey Gronaller,Denis MacPake,0.08,-740876.64
153,9/4/2020,apartment,555290.29,618481.16,Illa Eakly,Husein Champney,Cly Maiden,0.04,-63190.87
154,7/12/2020,townhouse,163005.09,488268.58,Arabela Kitteridge,Lettie Shadfourth,Trueman Goss,0.07,-325263.49
155,12/5/2020,house,417783.63,97545.21,Claiborn Itzchaky,Bryn McGlue,Samson Wassell,0.02,320238.42
156,11/15/2020,townhouse,701316.66,707742.09,Rivkah Flucker,Rockey By,Charis Karpets,0.06,-6425.43
157,5/9/2021,house,422103.44,759642.81,Gabey Dracksford,Nickola Rhymes,Whitney Bernardeschi,0.09,-337539.37
158,1/24/2021,apartment,561669.38,891062.42,Muhammad Simmonite,Preston Berntsson,Mitchell Sprackling,0.09,-329393.04
159,8/16/2020,condo,56611.89,137194.09,L;urette Barenski,Pattie Casino,Aubrey Regina,0.04,-80582.2
160,7/6/2021,condo,142734.05,778629.77,Daisey Zorzin,Quintin Scothorn,Karissa Clee,0.07,-635895.72
161,3/4/2021,apartment,156506.08,810283.64,Ardisj Ewells,Carita Mockett,Ermentrude Pascall,0.06,-653777.56
162,1/9/2021,apartment,228442.62,379539.48,Alena Raisher,Cosetta MacNeill,Sheri Bussons,0.06,-151096.86
163,2/21/2021,house,257161.75,185128.08,Maddie Durtnal,Tiffany Garmston,Bree Dethloff,0.08,72033.67
164,12/29/2021,condo,421381.22,166145.58,Claretta Zupone,Fin Gilman,Godiva Milley,0.04,255235.64
165,5/27/2020,townhouse,300994.86,767821.87,Torre Hackforth,Vaughan McManamon,Romy Haydn,0.05,-466827.01
166,11/26/2020,condo,758303.63,724120.42,Charlot Daviot,Shelden Hards,Anabal Blaiklock,0.08,34183.21
167,10/24/2021,house,642137.17,168228.44,Waldemar Sorsby,Kristen Punt,Peria Dignum,0.05,473908.73
168,4/20/2020,condo,320211.2,78906.87,Rose Orrock,Shanon Mully,Jerome Fredson,0.04,241304.33
169,8/21/2020,house,376084.24,712265.0,Suzi Rickards,Timmy Brisseau,Romona Imos,0.08,-336180.76
170,9/2/2021,house,120841.58,964979.21,Erika Yanshinov,Jeanine Merrifield,Warde Oldcroft,0.1,-844137.63
171,10/17/2021,apartment,704249.0,68393.82,Wallas Eric,Inglebert Seage,Shannon Creser,0.06,635855.18
172,10/30/2021,house,890963.25,192626.38,Cyndia Valentin,Jacki Digan,Gabriele Blare,0.05,698336.87
173,4/15/2021,apartment,813530.58,536136.83,Rosabelle Duigenan,Eran Priddle,Marisa Peach,0.04,277393.75
174,5/22/2020,townhouse,915176.75,467717.85,Casey Trevallion,Theodora Cameron,Adolf Noquet,0.08,447458.9
175,2/1/2020,townhouse,428517.4,95151.3,Clevie Sandercock,Murvyn Fosbraey,Glendon Hadigate,0.1,333366.1
176,9/25/2021,house,381417.21,738019.39,Nanette Strotton,Johna MacLaig,Raynard Dacre,0.03,-356602.18
177,4/24/2021,condo,466801.68,283496.43,Deloris Philliphs,Laurella Aberdeen,Brodie Deere,0.05,183305.25
178,10/5/2021,townhouse,615605.63,900245.33,Jojo Loffhead,Corny Vina,Clarice Doring,0.1,-284639.7
179,8/2/2020,apartment,895657.01,383957.12,Reube Elms,Chaddie Leeb,Earl Avrahamof,0.03,511699.89
180,2/12/2020,condo,360329.46,665821.02,Denney Fairman,Chiarra Sadry,Gardener Swinburn,0.09,-305491.56
181,11/23/2020,townhouse,182057.01,95450.8,Melvin Awdry,Haskell Garoghan,Angil Toby,0.02,86606.21
182,1/29/2021,house,967685.76,135503.94,Suzanne Gages,Batsheva Rowen,Roslyn McEniry,0.07,832181.82
183,2/13/2021,house,784970.02,232978.57,Keslie Tinline,Susann Baunton,Kameko Baccas,0.07,551991.45
184,9/28/2021,house,920488.25,250684.86,Carmen Biagioni,Kirsteni Haddock,Hillard Boxhill,0.04,669803.39
185,8/6/2020,apartment,773493.77,930756.19,Davita Avramchik,Katrina Shoorbrooke,Bendite Pauncefoot,0.02,-157262.42
186,7/17/2021,condo,93689.25,360849.32,Odie Moncreiffe,Gauthier Bulfit,Percy Mewha,0.05,-267160.07
187,10/17/2021,apartment,142697.74,892939.32,Malchy Kilbey,Judon Hunnisett,Merwin Huburn,0.09,-750241.58
188,3/1/2021,house,160047.2,718563.38,Barbara Mathelin,Jan Haythorne,Claudio McDermott-Row,0.1,-558516.18
189,1/27/2020,house,446370.02,741368.99,Eudora Hand,Jo ann Croux,Jennie Kindon,0.03,-294998.97
190,4/6/2020,townhouse,410995.38,503500.2,Adrianna Barrowclough,Scot Staunton,Harp Bulfoot,0.03,-92504.82
191,4/26/2020,apartment,708036.45,629948.31,Phip Dooly,Gael Mackney,Katha Ffrench,0.05,78088.14
192,5/6/2020,house,174241.99,153302.45,Austen Jeyes,Brendon Cordero,Lucy Phant,0.04,20939.54
193,6/15/2021,townhouse,974698.77,65158.55,Laurice Arcase,Mitzi Mifflin,Merry Benterman,0.09,909540.22
194,9/18/2021,house,330025.07,115997.61,Harman Golley,Frans Danis,Papagena Willgrass,0.01,214027.46
195,11/29/2021,house,936429.41,760323.58,Ezequiel Longcaster,Carissa Bennion,Tommy Gliddon,0.04,176105.83
196,3/11/2021,condo,180862.33,779501.65,Gwenneth Forrest,Lyn Jerok,Dun Simms,0.04,-598639.32
197,8/8/2020,townhouse,673327.35,68376.53,Ximenez Malicki,Willey Eneas,Bibi Lamanby,0.03,604950.82
198,1/14/2021,apartment,940797.11,955374.65,Alia Fernando,Hagan Wind,Niccolo Petett,0.07,-14577.54
199,11/5/2021,townhouse,704172.09,468943.49,Isabel Ferrara,Maisie Sevier,Aubrette Maharey,0.05,235228.6
200,8/22/2020,townhouse,869676.33,251927.25,Sophia Streeting,Jacquenette Schirak,Cyndi Rylatt,0.05,617749.08
201,2/7/2021,condo,166945.1,477965.45,Georgine Bemlott,Aline Di Bartolomeo,Hagen Quilkin,0.04,-311020.35
202,1/17/2020,condo,262930.33,701585.27,Gilburt Llop,Noe Elstone,Neila Petty,0.07,-438654.94
203,9/26/2021,condo,200957.47,62574.93,Carmencita Vass,Bunni Lindmark,Frasquito Ingamells,0.09,138382.54
204,4/26/2020,apartment,731319.35,96435.37,Georgine Guppey,Antonina Best,Laetitia McClory,0.06,634883.98
205,8/26/2020,apartment,436504.55,195244.23,Cris Petrashkov,Ursulina McMurty,Arlina Ricks,0.09,241260.32
206,4/14/2021,apartment,513745.02,559945.51,Brandi Prahm,Ronny Pickthorne,Kimberlyn Giscken,0.08,-46200.49
207,2/6/2021,apartment,488650.06,198244.56,Hobard Portam,Junie Minister,Raimondo Ludee,0.02,290405.5
208,3/6/2021,condo,825079.88,430259.68,Cybill Botton,Carlita Chape,Emmit Mellings,0.1,394820.2
209,5/8/2020,townhouse,469228.58,635616.81,Tim Cardwell,Lev Halton,Morgana Antonin,0.04,-166388.23
210,4/2/2020,house,52539.67,364252.42,Fanchette Fellnee,Laurie Vedmore,Clarissa Jackways,0.06,-311712.75
211,8/22/2020,house,339781.38,298657.96,Valaree Gabbitus,Hart Parke,Mart Placstone,0.02,41123.42
212,4/28/2021,townhouse,488279.45,493039.84,Yvon Jellard,Delores Ibbitson,Shamus Dawdry,0.08,-4760.39
213,11/8/2021,townhouse,200796.79,323729.77,Noelyn Goakes,Mauricio Dunsford,Alleen Sekulla,0.04,-122932.98
214,9/5/2020,apartment,291718.74,961271.38,Shandee Eates,Tallulah Malt,Aline Corben,0.09,-669552.64
215,5/4/2020,condo,631838.18,950193.1,Nicol Maffia,Delaney Tibbetts,Suzie Bleckly,0.03,-318354.92
216,1/20/2020,condo,675347.04,362668.57,Jamal France,Caye Ovington,Alexis Rosoni,0.03,312678.47
217,1/22/2020,condo,748219.5,61708.01,Rolando Sooper,Jocelin Swede,Cindelyn Hamprecht,0.01,686511.49
218,4/10/2021,house,115927.43,343880.65,Paxton Guillon,Mellicent Elmar,Augusto Longo,0.02,-227953.22
219,2/8/2020,condo,476504.18,263668.55,Auguste Pfaff,Florance Domb,Jedd Everit,0.06,212835.63
220,12/30/2020,townhouse,750008.78,233382.57,Gibbie Coaten,Angelia Schuster,Chrysler Berndtssen,0.09,516626.21
221,1/31/2020,townhouse,676597.24,977953.96,Ryan Magson,Revkah Persich,Henrieta Boschmann,0.03,-301356.72
222,7/5/2020,house,440393.69,483480.65,Vita Drohan,Paulo Goldfinch,Demetrius Penberthy,0.02,-43086.96
223,10/19/2020,house,867964.68,824892.46,Cyrille Winslow,Letty Killough,Juliette Goudge,0.09,43072.22
224,4/13/2021,house,76599.06,824765.1,Erl Edney,Barbe Coyle,Fey Norbury,0.09,-748166.04
225,10/6/2021,apartment,956033.98,850094.49,Georgeanna Isacsson,Dougie Gero,Suzie Gable,0.06,105939.49
226,9/29/2021,townhouse,344332.33,186350.42,Dorie Flahy,Amalia Simeone,Lamont Sissland,0.09,157981.91
227,8/15/2020,apartment,939041.98,453988.54,Humbert Lake,Tammie Baggiani,Anett Balmadier,0.04,485053.44
228,5/15/2020,townhouse,711391.75,883059.48,Jean Effnert,Padriac Pagden,Isabel Harrowsmith,0.08,-171667.73
229,5/29/2020,townhouse,681196.13,820071.23,Alley Wolland,Kurt Cookes,Ganny Camoletto,0.02,-138875.1
230,9/2/2021,condo,486294.48,418343.69,Cary Porteous,Ava Savins,Maura Normanton,0.05,67950.79
231,10/9/2020,condo,332160.88,820462.59,Aile Jowle,Margaretta Vasyukhnov,Terence Rippen,0.06,-488301.71
232,11/22/2021,townhouse,122478.09,169962.49,Augustine Narey,Loydie Virgoe,Jenine MacFadzean,0.02,-47484.4
